Surname;FirstName;Patronymic;Login;Password;Role
Константинова ;Вероника;Агафоновна;loginDEsgg2018;qhgYnW;2
Меркушев ;Мартын;Федотович;loginDEdcd2018;LxR6YI;3
Казаков ;Федот;Кондратович;loginDEisg2018;Cp8ddU;2
Карпов ;Улеб;Леонидович;loginDEcph2018;7YpE0p;1
Королёв ;Матвей;Вадимович;loginDEgco2018;nMr|ss;3
Юдин ;Герман;Кондратович;loginDEwjg2018;9UfqWQ;3
Беляева ;Анна;Вячеславовна;loginDEjbz2018;xIAWNI;1
Беляев ;Валентин;Артёмович;loginDEmgu2018;0gC3bk;2
Семёнов ;Герман;Дмитрьевич;loginDErdg2018;ni0ue0;2
Шестаков ;Илья;Антонинович;loginDEjtv2018;f2ZaN6;3
Власов ;Вадим;Васильевич;loginDEtfj2018;{{ksPn;3
Савельев ;Арсений;Авксентьевич;loginDEpnb2018;{ADBdc;1
Ефимов ;Руслан;Якунович;loginDEzer2018;5&R+zs;1
Бурова ;Марфа;Федотовна;loginDEiin2018;y9l*b};3
Селезнёв ;Александр;Никитевич;loginDEqda2018;|h+r}I;3
Кулакова ;Виктория;Георгьевна;loginDEbnj2018;#ИМЯ?;3
Дорофеева ;Кира;Демьяновна;loginDEqte2018;dC8bDI;3
Сафонова ;Нинель;Якововна;loginDEfeo2018;8cI7vq;3
Ситникова ;София;Лукьевна;loginDEvni2018;e4pVIv;3
Медведев ;Ириней;Геннадьевич;loginDEjis2018;A9K++2;2
Суханова ;Евгения;Улебовна;loginDExvv2018;R1zh}|;2
Игнатьев ;Владлен;Дамирович;loginDEadl2018;F&IWf4;2
Ефремов ;Христофор;Владиславович;loginDEyzn2018;P1v24R;3
Кошелев ;Ростислав;Куприянович;loginDEphn2018;F}jGsJ;3
Галкина ;Тамара;Авксентьевна;loginDEdvk2018;NKNkup;1
Журавлёва ;Вера;Арсеньевна;loginDEtld2018;c+CECK;2
Савина ;Таисия;Глебовна;loginDEima2018;XK3sOA;1
Иванов ;Яков;Мэлорович;loginDEyfe2018;4Bbzpa;3
Лыткин ;Ким;Алексеевич;loginDEwqc2018;vRtAP*;2
Логинов ;Федот;Святославович;loginDEgtt2018;7YD|BR;2
Русакова ;Марина;Юлиановна;loginDEiwl2018;LhlmIl;2
Константинов ;Пётр;Кондратович;loginDEyvi2018;22beR};1
Поляков ;Анатолий;Игоревич;loginDEtfz2018;uQY0ZQ;3
Панфилова ;Василиса;Григорьевна;loginDEikb2018;*QkUxc;1
Воробьёв ;Герман;Романович;loginDEdmi2018;HOGFbU;3
Андреев ;Ростислав;Федосеевич;loginDEtlo2018;58Jxrg;1
Бобров ;Агафон;Владимирович;loginDEsnd2018;lLHqZf;1
Лапин ;Алексей;Витальевич;loginDEgno2018;4fqLiO;1
Шестаков ;Авдей;Иванович;loginDEgnl2018;wdio{u;3
Гаврилова ;Алина;Эдуардовна;loginDEzna2018;yz1iMB;3
Жуков ;Юлиан;Валерьянович;loginDEsyh2018;&4jYGs;2
Пономарёв ;Максим;Альвианович;loginDExex2018;rnh36{;3
Зиновьева ;Мария;Лаврентьевна;loginDEdjm2018;KjI1JR;2
Осипов ;Артём;Мэлорович;loginDEgup2018;36|KhF;3
Лапин ;Вячеслав;Геласьевич;loginDEdat2018;ussd8Q;1
Зуев ;Ириней;Вадимович;loginDEffj2018;cJP+HC;3
Коновалова ;Агафья;Митрофановна;loginDEisp2018;dfz5Ii;2
Исаев ;Дмитрий;Аристархович;loginDEfrp2018;6dcR|9;2
Белозёрова ;Алевтина;Лаврентьевна;loginDEaee2018;5&qONH;3
Самсонов ;Агафон;Максимович;loginDEthu2018;|0xWzV;3
